number;name;address;dept;cp;ville;latitude;longitude;wgs84
1005;01005 - LES HALLES - SEBASTOPOL;3 RUE DE LA COSSONNERIE - 75001 PARIS;75;75001;PARIS;48.86126206976475;2.349399999750171;48.8612620698, 2.34939999975
1023;01023 - ANDRE MALRAUX MUSEE DU LOUVRE;165 RUE SAINT HONORE - 75001 PARIS;75;75001;PARIS;48.86349701996373;2.334846327550268;48.86349702, 2.33484632755
2005;02005 - MONTORGUEIL RUE MONTMARTRE VERSION 2;46 RUE DE MONTMARTRE - 75002 PARIS;75;75002;PARIS;48.865021945810085;2.345068440144759;48.8650219458, 2.34506844014
2022;02022 - BONNE NOUVELLE SAINT FIACRE;20 RUE SAINT FIACRE - 75002 PARIS;75;75002;PARIS;48.87078277953678;2.345905811394424;48.8707827795, 2.34590581139
2002;02002 - MONTORGUEIL ETIENNE MARCEL;32 RUE ETIENNE MARCEL - 75002 PARIS;75;75002;PARIS;48.864582377464885;2.346282111667021;48.8645823775, 2.34628211167
2006;02006 - PLACE DES VICTOIRES;2 RUE D'ABOUKIR - 75002 PARIS;75;75002;PARIS;48.86600263256513;2.341920411962299;48.8660026326, 2.34192041196
2102;02102 - SAINT MARC;8 RUE SAINT MARC - 75002 PARIS;75;75002;PARIS;48.870314763994976;2.341878566630611;48.870314764, 2.34187856663
2007;02007 - CHABANAIS;1 RUE CHABANAIS - 75002 PARIS;75;75002;PARIS;48.867123446448645;2.336686608238879;48.8671234464, 2.33668660824
3101;03101 - PORTE SAINT MARTIN;62 RUE MESLAY - 75003 PARIS;75;75003;PARIS;48.86863640502551;2.355591592778568;48.868636405, 2.35559159278
3014;03014 - GRENIER SAINT LAZARE;FACE 34 RUE GRENIER SAINT LAZARE - 75003 PARIS;75;75003;PARIS;48.863062832743175;2.352839380718154;48.8630628327, 2.35283938072
4017;04017 - PLACE DE L'HOTEL DE VILLE;7 PLACE DE L'HOTEL DE VILLE - 75004 PARIS;75;75004;PARIS;48.85712865130369;2.351194996458793;48.8571286513, 2.35119499646
4104;04104 - SEBASTOPOL RAMBUTEAU;FACE 40 BOULEVARD SEBASTOPOL - 75004 PARIS;75;75004;PARIS;48.861883102214215;2.350220976096221;48.8618831022, 2.3502209761
5027;05027 - GOBELINS;22 AVENUE DES GOBELINS - 75005 PARIS;75;75005;PARIS;48.83712603861059;2.351433329767636;48.8371260386, 2.35143332977
5019;05019 - POISSY;8-10 RUE DE POISSY - 75005 PARIS;75;75005;PARIS;48.84969041137042;2.352970183602024;48.8496904114, 2.3529701836
